fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,total sulfur dioxide,density（负相关）,pH（正相关）,chlorides（负相关）,alcohol（正相关）,quality
7.1,0.44,0.62,11.8,52,0.46,152,0.9975,3.12,0.044,8.7,6
7.2,0.39,0.63,11,55,0.44,156,0.9974,3.09,0.044,8.7,6
6.8,0.25,0.31,13.3,69,0.48,202,0.9972,3.22,0.05,9.7,6
7.1,0.43,0.61,11.8,54,0.45,155,0.9974,3.11,0.045,8.7,5
7.1,0.44,0.62,11.8,52,0.46,152,0.9975,3.12,0.044,8.7,6
7.2,0.39,0.63,11,55,0.44,156,0.9974,3.09,0.044,8.7,6
6.1,0.27,0.43,7.5,65,0.47,243,0.9957,3.12,0.049,9,5
6.9,0.24,0.33,1.7,47,0.4,136,0.99,3.26,0.035,12.6,7
6.9,0.21,0.33,1.8,48,0.41,136,0.9899,3.25,0.034,12.6,7
7.5,0.17,0.32,1.7,51,0.44,148,0.9916,3.21,0.04,11.5,7
7.1,0.26,0.29,12.4,62,0.42,240,0.9969,3.04,0.044,9.2,6
6,0.34,0.66,15.9,26,0.5,164,0.9979,3.14,0.046,8.8,6
8.6,0.265,0.36,1.2,15,0.36,80,0.9913,2.95,0.034,11.4,7
9.8,0.36,0.46,10.5,4,0.3,83,0.9956,2.89,0.038,10.1,4
6,0.34,0.66,15.9,26,0.5,164,0.9979,3.14,0.046,8.8,6
7.4,0.25,0.37,13.5,52,0.44,192,0.9975,3,0.06,9.1,5
7.1,0.12,0.32,9.6,64,0.41,162,0.9962,3.4,0.054,9.4,5
6,0.21,0.24,12.1,55,0.39,164,0.997,3.34,0.05,9.4,5
7.5,0.305,0.4,18.9,44,0.46,170,1,2.99,0.059,9,5
7.4,0.25,0.37,13.5,52,0.44,192,0.9975,3,0.06,9.1,5
7.3,0.13,0.32,14.4,34,0.35,109,0.9974,3.2,0.051,9.2,6
7.1,0.12,0.32,9.6,64,0.41,162,0.9962,3.4,0.054,9.4,5
7.1,0.23,0.35,16.5,60,0.59,171,0.999,3.16,0.04,9.1,6
7.1,0.23,0.35,16.5,60,0.59,171,0.999,3.16,0.04,9.1,6
6.9,0.33,0.28,1.3,37,0.6,187,0.9927,3.27,0.051,10.3,5
6.5,0.17,0.54,8.5,64,0.39,163,0.9959,2.89,0.082,8.8,6
7.2,0.27,0.46,18.75,45,0.52,255,1,3.04,0.052,8.9,5
7.2,0.31,0.5,13.3,68,0.47,195,0.9982,3.01,0.056,9.2,5
6.7,0.41,0.34,9.2,29,0.51,150,0.9968,3.22,0.049,9.1,5
6.7,0.41,0.34,9.2,29,0.51,150,0.9968,3.22,0.049,9.1,5
5.5,0.485,0,1.5,8,0.4,103,0.994,3.63,0.065,9.7,4
6,0.31,0.24,3.3,25,0.44,143,0.9914,3.31,0.041,11.3,6
7,0.14,0.4,1.7,16,0.42,85,0.9911,3.19,0.035,11.8,6
7.2,0.31,0.5,13.3,68,0.47,195,0.9982,3.01,0.056,9.2,5
7.3,0.32,0.48,13.3,57,0.5,196,0.9982,3.04,0.06,9.2,5
5.9,0.36,0.04,5.7,21,0.51,87,0.9934,3.22,0.046,10.2,5
7.8,0.24,0.32,12.2,42,0.54,138,0.9984,3.01,0.054,8.8,5
7.4,0.16,0.31,6.85,31,0.34,131,0.9952,3.29,0.059,9.7,5
6.9,0.19,0.28,5,14,0.36,146,0.9952,3.29,0.058,9.1,6
6.4,0.13,0.47,1.6,40,0.36,158,0.9928,3.21,0.092,9.8,6
6.7,0.19,0.36,1.1,63,0.48,143,0.9912,3.27,0.026,11,6
7.4,0.39,0.23,7,29,0.42,126,0.994,3.14,0.033,10.5,5
6.5,0.24,0.32,7.6,48,0.54,203,0.9958,3.45,0.038,9.7,7
6.1,0.3,0.56,2.8,47,0.57,179,0.9924,3.3,0.044,10.9,7
6.1,0.3,0.56,2.7,46,0.57,184,0.9924,3.31,0.046,10.9,6
5.7,0.26,0.25,10.4,7,0.37,57,0.994,3.39,0.02,10.6,5
6.5,0.24,0.32,7.6,48,0.54,203,0.9958,3.45,0.038,9.7,7
6.5,0.425,0.4,13.1,59,0.57,241,0.9979,3.23,0.038,9,5
6.6,0.24,0.27,15.8,46,0.51,188,0.9982,3.24,0.035,9.2,5
6.8,0.27,0.22,8.1,55,0.52,203,0.9961,3.19,0.034,8.9,5
6.7,0.27,0.31,15.7,44,0.56,179,0.9979,3.26,0.036,9.6,5
8.2,0.23,0.4,1.2,36,0.38,121,0.992,3.12,0.027,10.7,6
7.1,0.37,0.67,10.5,49,0.44,155,0.9975,3.16,0.045,8.7,5
6.8,0.19,0.36,1.9,30,0.54,96,0.9917,3.15,0.035,10.8,7
8.1,0.28,0.39,1.9,18,0.52,79,0.9923,3.23,0.029,11.8,6
6.3,0.31,0.34,2.2,20,0.43,77,0.9927,3.3,0.045,10.2,5
7.1,0.37,0.67,10.5,49,0.44,155,0.9975,3.16,0.045,8.7,5
7.9,0.21,0.4,1.2,38,0.54,107,0.992,3.21,0.039,10.8,6
8.5,0.21,0.41,4.3,24,0.53,99,0.9947,3.18,0.036,9.7,6
8.1,0.2,0.4,2,19,0.54,87,0.9921,3.12,0.037,11.2,6
6.3,0.255,0.37,1.1,37,0.39,114,0.9905,3,0.04,10.9,6
5.6,0.16,0.27,1.4,53,0.37,168,0.9918,3.28,0.044,10.1,6
6.4,0.595,0.14,5.2,15,0.36,97,0.9951,3.38,0.058,9,4
6.3,0.34,0.33,4.6,19,0.58,80,0.9917,3.38,0.034,12,7
6.9,0.25,0.3,4.1,23,0.38,116,0.994,2.99,0.054,9.4,6
7.9,0.22,0.38,8,46,0.32,152,0.9934,3.12,0.043,11.5,7
7.6,0.18,0.46,10.2,58,0.43,135,0.9968,3.14,0.055,9.9,6
6.9,0.25,0.3,4.1,23,0.38,116,0.994,2.99,0.054,9.4,6
7.2,0.18,0.41,1.2,41,0.45,97,0.9919,3.14,0.048,10.4,5
8.2,0.23,0.4,7.5,12,0.84,76,0.9966,3.06,0.049,9.7,6
7.4,0.24,0.42,14,48,0.42,198,0.9979,2.89,0.066,8.9,6
7.4,0.24,0.42,14,48,0.42,198,0.9979,2.89,0.066,8.9,6
6.1,0.32,0.24,1.5,38,0.42,124,0.9898,3.29,0.036,12.4,7
5.2,0.44,0.04,1.4,43,0.33,119,0.9894,3.36,0.036,12.1,8
5.2,0.44,0.04,1.4,43,0.33,119,0.9894,3.36,0.036,12.1,8
6.1,0.32,0.24,1.5,38,0.42,124,0.9898,3.29,0.036,12.4,7
6.4,0.22,0.56,14.5,27,0.4,159,0.998,2.98,0.055,9.1,5
6.3,0.36,0.3,4.8,14,0.39,85,0.9932,3.28,0.049,10.6,5
7.4,0.24,0.42,14,48,0.42,198,0.9979,2.89,0.066,8.9,6
6.7,0.24,0.35,13.1,64,0.5,205,0.997,3.15,0.05,9.5,5
7,0.23,0.36,13,72,0.49,177,0.9972,3.16,0.051,9.8,5
8.4,0.27,0.46,8.7,39,0.59,197,0.9974,3.14,0.048,9.6,6
6.7,0.46,0.18,2.4,25,0.44,98,0.9896,3.08,0.034,12.6,7
7.5,0.29,0.31,8.95,20,0.54,151,0.9968,3.08,0.055,9.3,5
9.8,0.42,0.48,9.85,5,0.29,110,0.9958,2.87,0.034,10,5
7.1,0.3,0.46,1.5,29,0.54,133,0.9906,3.12,0.066,12.7,6
7.9,0.19,0.45,1.5,17,0.39,96,0.9917,3.13,0.045,11,6
7.6,0.48,0.37,0.8,4,0.39,100,0.9902,3.03,0.037,11.4,4
6.3,0.22,0.43,4.55,31,0.33,130,0.9918,3.35,0.038,11.5,7
7.5,0.27,0.31,17.7,33,0.64,173,0.999,3.09,0.051,10.2,5
6.9,0.23,0.4,7.5,50,0.27,151,0.9927,3.11,0.04,11.4,6
7.2,0.32,0.47,5.1,19,0.41,65,0.991,3.03,0.044,12.6,4
5.9,0.23,0.3,12.9,57,0.39,170,0.9972,3.28,0.054,9.4,5
6,0.67,0.07,1.2,9,0.35,108,0.9931,3.11,0.06,8.7,4
6.4,0.25,0.32,5.5,41,0.68,176,0.995,3.19,0.049,9.2,6
6.4,0.33,0.31,5.5,42,0.66,173,0.9951,3.19,0.048,9.3,6
7.1,0.34,0.15,1.2,61,0.43,183,0.9936,3.09,0.053,9.2,5
6.8,0.28,0.4,22,48,0.5,167,1.001,2.93,0.048,8.7,5
6.9,0.27,0.4,14,64,0.58,227,0.9979,3.18,0.05,9.6,6
6.8,0.26,0.56,11.9,64,0.63,226,0.997,3.02,0.043,9.3,5
6.8,0.29,0.56,11.9,66,0.63,230,0.9972,3.02,0.043,9.3,5
6.7,0.24,0.41,9.4,49,0.61,166,0.9954,3.12,0.04,9.9,6
5.9,0.3,0.23,4.2,42,0.5,119,0.9924,3.15,0.038,11,5
6.8,0.53,0.35,3.8,26,0.57,109,0.9906,3.26,0.034,12.7,8
6.5,0.28,0.28,8.5,54,0.54,210,0.9962,3.09,0.047,8.9,4
6.6,0.28,0.28,8.5,55,0.55,211,0.9962,3.09,0.052,8.9,6
6.8,0.28,0.4,22,48,0.5,167,1.001,2.93,0.048,8.7,5
6.8,0.28,0.36,8,28,0.37,123,0.9928,3.02,0.045,11.4,6
6.6,0.15,0.34,5.1,34,0.42,125,0.9942,3.36,0.055,9.6,5
6.4,0.29,0.44,3.6,75,0.41,181,0.9942,3.02,0.2,9.1,5
6.4,0.3,0.45,3.5,76,0.39,180,0.9942,3.02,0.197,9.1,6
6.4,0.29,0.44,3.6,75,0.38,183,0.9942,3.01,0.197,9.1,5
6.8,0.26,0.24,7.8,54,0.47,214,0.9961,3.13,0.052,8.9,5
7.1,0.32,0.24,13.1,52,0.49,204,0.998,3.1,0.05,8.8,5
6.8,0.26,0.24,7.8,54,0.47,214,0.9961,3.13,0.052,8.9,5
6.8,0.27,0.26,16.1,55,0.5,196,0.9984,3.15,0.049,9.3,5
7.1,0.32,0.24,13.1,52,0.49,204,0.998,3.1,0.05,8.8,5
6.9,0.54,0.32,13.2,53,0.5,236,0.9973,3.2,0.05,9.6,5
6.8,0.26,0.34,13.9,39,0.53,134,0.9949,3.33,0.034,12,6
5.8,0.28,0.35,2.3,36,0.5,114,0.9924,3.28,0.053,10.2,4
6.4,0.21,0.5,11.6,45,0.43,153,0.9972,3.15,0.042,8.8,5
7,0.16,0.32,8.3,38,0.34,126,0.9958,3.21,0.045,9.2,5
10.2,0.44,0.88,6.2,20,0.51,124,0.9968,2.99,0.049,9.9,4
6.8,0.57,0.29,2.2,15,0.74,77,0.9938,3.32,0.04,10.2,5
6.1,0.4,0.31,0.9,23,0.77,170,0.993,3.22,0.048,9.5,6
5.6,0.245,0.25,9.7,12,0.34,68,0.994,3.31,0.032,10.5,5
6.8,0.18,0.38,1.4,35,0.59,111,0.9918,3.32,0.038,11.2,7
7,0.16,0.32,8.3,38,0.34,126,0.9958,3.21,0.045,9.2,5
6.7,0.13,0.29,5.3,31,0.37,122,0.9944,3.44,0.051,9.7,6
6.2,0.25,0.25,1.4,35,0.44,105,0.9912,3.3,0.03,11.1,7
5.8,0.26,0.24,9.2,55,0.38,152,0.9961,3.31,0.044,9.4,5
7.5,0.27,0.36,7,45,0.33,164,0.9939,3.03,0.036,11,5
5.8,0.26,0.24,9.2,55,0.38,152,0.9961,3.31,0.044,9.4,5
5.7,0.28,0.24,17.5,60,0.44,167,0.9989,3.31,0.044,9.4,5
7.5,0.23,0.36,7,43,0.32,161,0.9938,3.04,0.036,11,5
7.5,0.27,0.36,7,45,0.33,164,0.9939,3.03,0.036,11,5
7.2,0.685,0.21,9.5,33,0.55,172,0.9971,3,0.07,9.1,6
6.2,0.25,0.25,1.4,35,0.44,105,0.9912,3.3,0.03,11.1,7
6.5,0.19,0.3,0.8,33,0.39,144,0.9936,3.42,0.043,9.1,6
6.3,0.495,0.22,1.8,31,0.54,140,0.9929,3.39,0.046,10.4,6
7.1,0.24,0.41,17.8,39,0.39,145,0.9998,3.32,0.046,8.7,5
6.4,0.17,0.32,2.4,41,0.5,200,0.9938,3.5,0.048,9.7,6
7.1,0.25,0.32,10.3,66,0.52,272,0.9969,3.17,0.041,9.1,6
6.4,0.17,0.32,2.4,41,0.5,200,0.9938,3.5,0.048,9.7,6
7.1,0.24,0.41,17.8,39,0.39,145,0.9998,3.32,0.046,8.7,5
6.8,0.64,0.08,9.7,26,0.46,142,0.9972,3.37,0.062,8.9,4
8.3,0.28,0.4,7.8,38,0.51,194,0.9976,3.34,0.041,9.6,6
8.2,0.27,0.39,7.8,49,0.51,208,0.9976,3.31,0.039,9.5,6
7.2,0.23,0.38,14.3,55,0.44,194,0.9979,3.09,0.058,9,6
7.2,0.23,0.38,14.3,55,0.44,194,0.9979,3.09,0.058,9,6
7.2,0.23,0.38,14.3,55,0.44,194,0.9979,3.09,0.058,9,6
7.2,0.23,0.38,14.3,55,0.44,194,0.9979,3.09,0.058,9,6
6.8,0.52,0.32,13.2,54,0.5,221,0.9972,3.27,0.044,9.6,6
7,0.26,0.59,1.4,40,0.41,120,0.9918,3.34,0.037,11.1,7
6.2,0.25,0.21,15.55,28,0.64,159,0.9982,3.48,0.039,9.6,6
7.3,0.32,0.23,13.7,49,0.46,197,0.9985,3.2,0.05,8.7,5
7.7,0.31,0.26,7.8,23,0.5,90,0.9944,3.13,0.031,10.4,5
7.1,0.21,0.37,2.4,23,0.38,100,0.9903,3.15,0.026,11.4,7
6.8,0.24,0.34,2.7,64.5,0.58,218.5,0.9934,3.3,0.047,9.7,6
6.9,0.4,0.56,11.2,40,0.46,142,0.9975,3.14,0.043,8.7,5
6.1,0.18,0.36,2,20,0.79,249.5,0.9923,3.37,0.038,11.3,6
6.8,0.21,0.27,2.1,26,0.61,139,0.99,3.16,0.03,12.6,7
5.8,0.2,0.27,1.4,12,0.36,77,0.9905,3.25,0.031,10.9,7
5.6,0.19,0.26,1.4,12,0.37,76,0.9905,3.25,0.03,10.9,7
6.1,0.41,0.14,10.4,18,0.45,119,0.996,3.38,0.037,10,5
5.9,0.21,0.28,4.6,40,0.7,199,0.9964,3.72,0.053,10,4
8.5,0.26,0.21,16.2,41,0.5,197,0.998,3.02,0.074,9.8,3
6.9,0.4,0.56,11.2,40,0.46,142,0.9975,3.14,0.043,8.7,5
5.8,0.24,0.44,3.5,5,0.43,109,0.9913,3.53,0.029,11.7,3
5.8,0.24,0.39,1.5,37,0.52,158,0.9932,3.21,0.054,9.3,6
6.7,0.26,0.39,1.1,45,0.58,147,0.9935,3.32,0.04,9.6,8
6.3,0.35,0.3,5.7,8,0.41,97,0.9927,3.27,0.035,11,7
6.3,0.35,0.3,5.7,8,0.41,97,0.9927,3.27,0.035,11,7
6.4,0.23,0.39,1.8,23,0.5,118,0.9912,3.32,0.032,11.8,6
5.8,0.36,0.38,0.9,3,0.34,75,0.9904,3.28,0.037,11.4,4
6.9,0.115,0.35,5.4,36,0.42,108,0.9939,3.32,0.048,10.2,6
6.9,0.29,0.4,19.45,36,0.47,156,0.9996,2.93,0.043,8.9,5
6.9,0.28,0.4,8.2,15,0.33,95,0.9944,3.17,0.036,10.2,5
7.2,0.29,0.4,13.6,66,0.59,231,0.9977,3.08,0.045,9.6,6
6.2,0.24,0.35,1.2,22,0.48,167,0.9912,3.1,0.038,10.6,6
6.9,0.29,0.4,19.45,36,0.47,156,0.9996,2.93,0.043,8.9,5
6.9,0.32,0.26,8.3,32,0.51,180,0.9965,3.25,0.053,9.2,6
5.3,0.58,0.07,6.9,34,0.57,149,0.9944,3.34,0.043,9.7,5
5.3,0.585,0.07,7.1,34,0.57,145,0.9945,3.34,0.044,9.7,6
5.4,0.59,0.07,7,36,0.57,147,0.9944,3.34,0.045,9.7,6
6.9,0.32,0.26,8.3,32,0.51,180,0.9965,3.25,0.053,9.2,6
5.2,0.6,0.07,7,33,0.58,147,0.9944,3.33,0.044,9.7,5
5.8,0.25,0.26,13.1,44,0.38,148,0.9972,3.29,0.051,9.3,5
6.6,0.58,0.3,5.1,30,0.38,123,0.9949,3.24,0.057,9,5
7,0.29,0.54,10.7,59,0.61,234,0.9966,3.05,0.046,9.5,5
6.6,0.19,0.41,8.9,51,0.57,169,0.9954,3.14,0.046,9.8,6
6.7,0.2,0.41,9.1,50,0.58,166,0.9954,3.14,0.044,9.8,6
7.7,0.26,0.4,1.1,9,0.5,60,0.9915,2.89,0.042,10.6,5
6.8,0.32,0.34,1.2,14,0.47,67,0.9919,3.05,0.044,10.6,4
7,0.3,0.49,4.7,17,0.68,105,0.9916,3.26,0.036,12.4,7
7,0.24,0.36,2.8,22,0.38,112,0.99,3.19,0.034,12.6,8
6.1,0.31,0.58,5,36,0.6,114,0.9909,3.3,0.039,12.3,8
6.8,0.44,0.37,5.1,46,0.65,201,0.9938,3.08,0.047,10.5,4
6.7,0.34,0.3,15.6,51,0.49,196,0.9982,3.19,0.054,9.3,5
7.1,0.35,0.24,15.4,46,0.49,198,0.9988,3.12,0.055,8.8,5
7.3,0.32,0.25,7.2,47,0.47,180,0.9961,3.08,0.056,8.8,5
6.5,0.28,0.33,15.7,51,0.51,190,0.9978,3.22,0.053,9.7,6
7.2,0.23,0.39,14.2,49,0.48,192,0.9979,2.98,0.058,9,7
7.2,0.23,0.39,14.2,49,0.48,192,0.9979,2.98,0.058,9,7
7.2,0.23,0.39,14.2,49,0.48,192,0.9979,2.98,0.058,9,7
7.2,0.23,0.39,14.2,49,0.48,192,0.9979,2.98,0.058,9,7
5.9,0.15,0.31,5.8,53,0.46,155,0.9945,3.52,0.041,10.5,6
7.4,0.28,0.42,19.8,53,0.44,195,1,2.96,0.066,9.1,5
6.2,0.28,0.22,7.3,26,0.64,157,0.9957,3.44,0.041,9.8,7
9.1,0.59,0.38,1.6,34,0.38,182,0.9968,3.23,0.066,8.5,3
6.3,0.33,0.27,1.2,34,0.54,175,0.9934,3.37,0.046,9.4,6
8.3,0.39,0.7,10.6,33,0.57,169,0.9976,3.09,0.045,9.4,5
7.2,0.19,0.46,3.8,82,0.6,187,0.9932,3.19,0.041,11.2,7
7.5,0.17,0.44,11.3,65,0.45,146,0.997,3.17,0.046,10,6
6.7,0.17,0.5,2.1,27,0.45,122,0.9923,3.15,0.043,10.3,6
6.1,0.41,0,1.6,36,0.67,87,0.9914,3.27,0.063,10.8,6
8.3,0.2,0.35,0.9,12,0.38,74,0.992,3.13,0.05,10.5,6
6.1,0.41,0,1.6,36,0.67,87,0.9914,3.27,0.063,10.8,6
6,0.29,0.21,1.3,42,0.43,168,0.9914,3.32,0.055,11.1,6
7.3,0.41,0.24,6.8,41,0.41,163,0.9949,3.2,0.057,9.9,6
7.3,0.41,0.24,6.8,41,0.41,163,0.9949,3.2,0.057,9.9,6
7.2,0.43,0.24,6.7,40,0.41,163,0.995,3.2,0.058,9.9,5
7.3,0.4,0.24,6.7,41,0.41,166,0.995,3.2,0.058,9.9,6
6.2,0.33,0.27,4.9,30,0.42,134,0.9927,3.2,0.036,10.4,7
6.2,0.31,0.26,4.8,36,0.41,148,0.9928,3.21,0.037,10.4,6
6.1,0.36,0.27,2.1,16,0.71,100,0.9917,3.4,0.035,11.5,7
5,0.55,0.14,8.3,35,0.51,164,0.9918,3.53,0.032,12.5,8
7.8,0.25,0.41,3.7,37,0.45,149,0.9954,3.36,0.042,10,6
5.7,0.36,0.21,6.7,51,0.63,166,0.9941,3.29,0.038,10,6
5.8,0.34,0.21,6.6,50,0.62,167,0.9941,3.29,0.04,10,5
6.8,0.28,0.6,1.1,42,0.44,127,0.9934,3.09,0.132,9.1,6
6.8,0.25,0.34,4.7,34,0.38,134,0.9927,3.21,0.031,10.6,6
6.6,0.24,0.35,7.7,36,0.37,135,0.9938,3.19,0.031,10.5,5
5.9,0.3,0.47,7.85,19,0.43,133,0.9933,3.52,0.03,11.5,7
6.1,0.125,0.25,3.3,10,0.59,69,0.9934,3.54,0.04,10.1,6
6,0.1,0.24,1.1,15,0.61,65,0.9927,3.61,0.041,10.3,7
6.6,0.24,0.35,7.7,36,0.37,135,0.9938,3.19,0.031,10.5,5
6.8,0.25,0.34,4.7,34,0.38,134,0.9927,3.21,0.031,10.6,6
6.8,0.28,0.44,9.3,35,0.36,137,0.9946,3.16,0.031,10.4,6
8.3,0.41,0.51,2,11,0.55,207,0.993,3.02,0.046,11.4,5
7.5,0.27,0.31,5.8,131,0.59,313,0.9946,3.18,0.057,10.5,5
7.9,0.26,0.41,15.15,38,0.6,216,0.9976,2.96,0.04,10,6
